Load Factor, Write Latency(ns), Postive Read Latency(ns), Negative Read Latency(ns)
0.059605,855.796784,497.966448,678.785664
0.119209,814.649376,542.882904,678.431224
0.178814,818.688960,539.353349,703.488261
0.238419,862.801456,530.143256,715.763740
0.298023,784.758640,534.496336,717.985507
0.357628,865.241632,543.778256,754.020635
0.417233,836.602528,554.355691,729.905269
0.476837,915.348560,554.896756,735.820768
0.536442,988.425904,559.357849,743.692348
0.596046,1100.961264,566.110509,753.568638
0.655651,1236.178096,563.800477,763.006745
0.715256,1501.271872,574.561831,773.391000
0.774860,1816.131728,566.357514,775.349154
0.834465,2403.497120,571.885243,762.128538
0.894070,3560.695184,582.056861,763.626147
0.953674,7757.263776,587.450538,762.468147
