Load Factor, Write Latency(ns), Postive Read Latency(ns), Negative Read Latency(ns)
0.058691,223.538432,154.709600,158.787808
0.117382,248.996592,147.821576,198.560184
0.176074,212.207936,157.438213,202.909499
0.234765,207.462816,158.343676,198.789664
0.293456,204.487264,141.440675,202.383014
0.352147,186.447488,161.528685,198.163096
0.410838,223.630384,154.280032,219.266727
0.469529,199.399024,151.235014,204.183436
0.528221,233.472768,157.049584,202.524443
0.586912,221.690960,158.321528,200.038443
0.645603,259.006880,157.117718,200.664557
0.704294,245.278560,157.575791,200.811660
0.762985,254.444640,162.645915,203.999968
0.821676,183.503360,158.049490,203.021840
0.880368,222.036448,157.770734,204.321234
0.939059,232.737824,155.591305,208.402678
