Load Factor, Write Latency(ns), Postive Read Latency(ns), Negative Read Latency(ns)
0.059168,277.412192,169.240224,159.870672
0.118335,249.146800,191.192464,168.901816
0.177503,277.892816,176.969659,192.058427
0.236670,275.041328,204.712584,197.386860
0.295838,311.654432,206.906797,210.465091
0.355005,321.095856,224.116528,223.273544
0.414173,331.997664,219.526519,234.161259
0.473340,343.840896,227.574018,246.286974
0.532508,368.912272,236.115170,259.497810
0.591675,364.379792,240.598826,271.109562
0.650843,344.001472,235.352343,277.907049
0.710010,406.946320,254.642901,291.841725
0.769178,426.465344,259.735884,301.469570
0.828345,439.953488,265.868451,315.766097
0.887513,388.531856,274.345151,326.792201
0.946680,423.500320,276.356357,340.837352
